id;Imie;Nazwisko;Stopien
1;Siembera;Istwan;
2;Gaicki;4
3;Skowyra;Marcziszewska;1
4;Miastecka;£aœwicz;2
5;Cepryñski;Walacy;5
6;Nahajski;Perdon;1
7;Mochnow;Tersnowski;9
8;Szparug;Guellard;1
9;Zigler;Przywarski;2
10;Zeljas;Sofijew;6
11;Rangos;Stronzik;4
12;Kwill;Skieska;1
13;Eckrich;Henrman;1
14;Firmant;Maroczkanycz;3
15;Kajryœ;Afrusiewicz;3
16;Sza³uda;Walowy;2
17;Szmittko;Dykczak;6
18;PaŸdyka;Kuriej;6
19;Bulciewicz;Kanak;6
20;Pasiewicz;Krzysznowska;10
21;Kisker;Szczaniecki;5
22;Pentok;Szkatulak;
23;Korg;Pod³óg;4
24;Libudzisz;Niesza³o;7
25;Smycerowicz;Ksi¹szkiewicz;3
26;Molkowski;Fadajewska;7
27;Migoæ;Bojol;1
28;Próbski;Przyk³ot;8
29;Tuskiewicz;Miliszak;5
30;Czenski;Szumada;9
31;Echler;Chamiec;1
32;Frigies;Kutyla;7
33;Artabus;Halkowski;1
34;Raynarzewska;Mastyk;7
35;Wojciakiewicz;Ma³ech;7
36;Dunaj;Lebiatkowski;8
37;Petraniuk;Maslarz;9
38;Nac³awik;Nesberak;1
39;Gredys;Luciñski;3
40;Szlegielmilch;Pobidek;1
41;Griszów;Kiebal;1
42;Smentowski;Bezon;6
43;Mi³uszewska;Notke;6
44;Iczyñski;Rymorski;6
45;Fromczak;Luppa;9
46;Mach³ajewski;£oszczyków;9
47;Sochoñ;Czokiel;1
48;Maroczek;Breck;9
49;Derwêcka;Rajtman;3
50;£amankiewicz;Czmud;8
51;Dlubata;Ciatarczak;6
52;Woldrich;Balogh;10
53;£opciñska;Eiwiñska;5
54;Handrych;Hannczak vel Antczak;7
55;Olezyk;Flamandzki;8
56;Bomburski;Zagniñski;10
57;Oron;Wyszewski;10
58;Pajnuk;Daniczuk;1
59;Pêdzisz;Grondas;5
60;Wazic;Graszyñski;2
61;Demdin;Madoñ;1
62;Bemski;Czerzniak;1
63;Bancerowski;Osadczuk;3
64;Szudkowski;Prylka;9
65;Mirgas;Brozdowicz;6
66;Kobsol;Lakowiecka;1
67;Wa³ek;Nabie³ek;1
68;Doli¿añska;Kawgan;7
69;Roskoszny;Ro¿destwiñski;3
70;Harnisz;Gohlike;8
71;Krzymek;Duna;4
72;£uszyñski;Chroñski;3
73;Borkowski vel Kietliñski;Szkred;8
74;Iliaszczyk;Sawkow;3
75;¯nuda;Haf;1
76;Botta;M¹kól;1
77;Ko³mykow;Biekatowicz;1
78;Czójko;B³usewicz;5
79;Bar¿yk;Kiedik;3
80;Trotzko;Dykdalewicz;8
81;Furgac;Szlosman;4
82;Trybinka;Majzit;5
83;Rajces;Propop;6
84;Ludminiak;Œwietojañski;2
85;Œcigniejew;Joweta;4
86;Dalaszczyk;Zgorzelec;4
87;Machejus;¯elmanowicz;9
88;Ripka;Zdrowicki;2
89;But;Szki³¹d¿;1
90;Nikodimuk;Hajert;6
91;Szostczuk;Jedrnal;5
92;Farbis;Piszkalski;1
93;Wichrowski;Lawosz;9
94;Pisznoth;Trabaj³o;7
95;Kundyœ;Retuszek;1
96;Garba³;Szwejgiert;3
97;Okoniak;Gumlak;1
